patient_id,umap_x,umap_y,tsne_x,tsne_y
MMRF_1231,3.9763365,11.185206,20.498981,-8.814974
MMRF_1032,6.540636,6.274762,-24.848198,10.357774
MMRF_1327,4.6070867,8.562396,-3.2146106,-1.6404415
MMRF_1210,6.340632,6.304316,-33.141914,4.810648
MMRF_1269,5.9988227,10.050134,13.890768,4.3054214
MMRF_1251,3.6559148,8.485989,22.216793,15.39685
MMRF_1328,5.360254,8.645874,4.7618713,-5.184331
MMRF_1171,6.9737945,5.319171,-25.06959,14.646913
MMRF_1354,9.34391,7.0490823,-15.031293,-11.541529
MMRF_1344,9.607545,7.15679,-15.490785,-9.223414
MMRF_1403,8.694679,7.9109597,-7.561465,-14.941996
MMRF_1408,2.7162414,6.423846,7.9877305,27.05745
MMRF_1338,4.53487,11.196402,25.009483,-10.622589
MMRF_1342,6.1452346,5.3428082,-30.052242,-0.87143314
MMRF_1352,4.014583,11.611401,20.648542,-6.390443
MMRF_1380,2.9934986,7.2410192,14.6845255,20.661789
MMRF_1389,2.79854,8.44384,16.886751,9.301755
MMRF_1388,5.9303327,8.472518,-5.9480743,-8.235716
MMRF_1395,7.8950925,5.084683,-24.954819,2.6329246
MMRF_1391,4.9147687,6.444726,4.333349,16.571291
MMRF_1359,5.150601,8.32362,16.48711,6.9409213
MMRF_1267,3.9184573,7.4658203,11.941094,15.748497
MMRF_1274,5.0953803,9.115199,6.1964817,-23.702696
MMRF_1037,6.3465576,6.2025366,-33.078514,4.904038
MMRF_1033,6.2218666,5.7611837,-23.042896,8.775077
MMRF_1031,8.70671,7.924096,-10.419339,-13.1774235
MMRF_1068,4.7194986,6.0880494,-1.2902651,21.98239
MMRF_1078,4.445102,8.106904,25.961044,9.243007
MMRF_1086,2.9177191,6.277683,9.966612,26.50309
MMRF_1082,6.3005714,9.814376,-1.7106236,-5.2040834
MMRF_1092,6.16088,5.1164145,-21.054049,6.5819526
MMRF_1325,4.172622,11.529719,19.421211,-6.072873
MMRF_1364,9.338985,6.0979023,-21.250782,-7.7774067
MMRF_1383,2.810273,7.001334,15.487193,25.152014
MMRF_1377,3.1583843,7.5632205,17.661673,20.584118
MMRF_1360,7.2634535,4.8052297,-29.244106,8.830246
MMRF_1371,9.301472,6.4415116,-21.364635,-8.456663
MMRF_1089,8.490834,6.0743346,-34.502068,3.5707235
MMRF_1365,3.8434558,11.403154,24.022701,-7.3581085
MMRF_1356,5.046779,9.235886,3.8353422,-14.551845
MMRF_1270,4.1606455,7.795278,21.527987,8.992636
MMRF_1323,6.6784964,8.903329,-2.217653,-8.894204
MMRF_1180,3.8131807,8.476673,23.54281,13.52202
MMRF_1188,2.8878908,6.5669155,12.18392,25.82034
MMRF_1300,7.1769195,9.540314,-1.9308331,-12.213391
MMRF_1331,7.3308654,6.680745,-14.179378,13.675665
MMRF_1185,3.388065,10.621777,19.395533,-12.782254
MMRF_1348,6.977877,10.2792015,6.4720044,4.256824
MMRF_1284,7.46946,9.504366,-3.019587,5.371072
MMRF_1202,5.767753,10.055728,5.508872,-7.952228
MMRF_1466,9.608297,7.381151,-13.663228,-8.902514
MMRF_1446,3.8339279,9.79682,17.06331,-15.771811
MMRF_1447,3.3281062,6.7106366,10.929091,24.365156
MMRF_1445,4.459154,8.263191,23.495726,8.0304785
MMRF_1433,4.9046674,9.899587,9.958144,-12.32855
MMRF_1434,3.4205558,6.6123557,9.981378,21.720041
MMRF_1436,6.9760714,5.1156955,-26.65167,11.526985
MMRF_1424,5.306768,8.093862,6.3732963,10.4578905
MMRF_1425,6.427867,6.068169,-32.05758,5.145947
MMRF_1439,2.64277,7.946263,16.0942,13.764114
MMRF_1450,9.098855,7.621673,-11.928809,-13.174075
MMRF_1451,3.4202347,8.446271,21.196945,15.866118
MMRF_1454,3.9232323,9.857967,19.946861,-17.964062
MMRF_1460,6.2931576,6.5755215,-1.7416093,16.287966
MMRF_1461,5.5907774,9.690981,5.608458,-10.384099
MMRF_1324,4.270488,8.594966,8.731906,-9.946374
MMRF_1392,9.578929,5.8975844,-28.516594,-5.4200234
MMRF_1413,2.9046185,6.9106455,13.793939,23.9262
MMRF_1393,7.4051857,7.943342,-6.6680503,8.6869955
MMRF_1148,8.794571,6.6089487,-20.164871,-13.7206135
MMRF_1349,3.8246787,9.791145,20.833727,-18.016045
MMRF_1432,4.3101335,8.646609,9.034534,-9.338673
MMRF_1293,8.965925,5.6467776,-24.56525,-4.8871098
MMRF_1216,4.653016,9.853246,9.802707,-12.9899235
MMRF_1178,8.4254265,6.6462646,4.340878,-23.60698
MMRF_1401,3.1153731,9.838365,13.86947,-22.903389
MMRF_1489,8.962292,5.686782,-24.54457,-5.493572
MMRF_1318,3.6739333,7.0958652,7.208327,20.332071
